Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,4.7uF,C_0402_1005Metric,165.55,-112.25,-90,bottom
C2,100nF,C_0402_1005Metric,176.6,-120.15,90,bottom
C3,100nF,C_0402_1005Metric,166.7,-112.25,-90,bottom
C4,100nF,C_0402_1005Metric,179.1,-118.9,90,bottom
C5,1uF,C_0402_1005Metric,167.45,-120.15,-90,bottom
C6,10nF,C_0402_1005Metric,168.5,-120.15,-90,bottom
C7,4.7uF,C_0402_1005Metric,177.6,-110.5,90,bottom
C8,100nF,C_0402_1005Metric,176.55,-110.5,90,bottom
C9,4.7uF,C_0402_1005Metric,192.1,-114.7,90,bottom
C10,470nF ,C_0402_1005Metric,192.14,-118.01,-90,bottom
C11,1uF,C_0402_1005Metric,163.2,-112.25,-90,bottom
C12,1uF,C_0402_1005Metric,163.15,-109.4,-90,bottom
C13,1uF,C_0402_1005Metric,105.1125,-121.0825,-90,bottom
C14,1uF,C_0402_1005Metric,105.1,-123.05,-90,bottom
C15,1uf,C_0402_1005Metric,103.4125,-115.5325,90,bottom
C16,100nF,C_0402_1005Metric,106.2125,-121.0825,-90,bottom
C17,100nF,C_0402_1005Metric,106.2,-123.05,-90,bottom
C18,100nF,C_0402_1005Metric,104.5125,-115.5325,90,bottom
C19,100nF,C_0402_1005Metric,185.58,-117.75,0,bottom
D1,D_Schottky,D_SOD-123,157.5,-110.5,-90,bottom
D2,BAV70,SOT-23,30.95625,-23.6,-90,bottom
D3,BAV70,SOT-23,69.05625,-23.8125,-90,bottom
D4,BAV70,SOT-23,107.15625,-23.8125,-90,bottom
D5,BAV70,SOT-23,145.25625,-23.8125,-90,bottom
D6,BAV70,SOT-23,183.35625,-23.8125,-90,bottom
D7,BAV70,SOT-23,221.45625,-23.8125,-90,bottom
D8,BAV70,SOT-23,259.55625,-23.8125,-90,bottom
D9,BAV70,SOT-23,297.65625,-23.8125,-90,bottom
D10,BAV70,SOT-23,30.95625,-42.8625,-90,bottom
D11,BAV70,SOT-23,69.05625,-42.8625,-90,bottom
D12,BAV70,SOT-23,107.15625,-42.8625,-90,bottom
D13,BAV70,SOT-23,145.25625,-42.71875,-90,bottom
D14,BAV70,SOT-23,183.3,-47.85,-90,bottom
D15,BAV70,SOT-23,221.45625,-42.8625,-90,bottom
D16,BAV70,SOT-23,259.55625,-42.8625,-90,bottom
D17,BAV70,SOT-23,296.06875,-41.596875,-90,bottom
D18,BAV70,SOT-23,35.7,-61.2,-90,bottom
D19,BAV70,SOT-23,59.53125,-61.4625,-90,bottom
D20,BAV70,SOT-23,97.663,-61.595,-90,bottom
D21,BAV70,SOT-23,135.2,-61.7,-90,bottom
D22,BAV70,SOT-23,173.83125,-61.9125,-90,bottom
D23,BAV70,SOT-23,211.93125,-61.9125,-90,bottom
D24,BAV70,SOT-23,250.03125,-61.9125,-90,bottom
D25,BAV70,SOT-23,299.9,-61.7625,-90,bottom
D26,BAV70,SOT-23,38.1,-80.9625,-90,bottom
D27,BAV70,SOT-23,64.29375,-80.6,-90,bottom
D28,BAV70,SOT-23,102.39375,-80.7375,-90,bottom
D29,BAV70,SOT-23,139.9,-80.7,-90,bottom
D30,BAV70,SOT-23,177.22,-84.61,-90,bottom
D31,BAV70,SOT-23,216.69375,-80.7,-90,bottom
D32,BAV70,SOT-23,254.79375,-80.9,-90,bottom
D33,BAV70,SOT-23,296.65,-73.3,-90,bottom
D34,BAV70,SOT-23,33.3375,-100.0125,-90,bottom
D35,BAV70,SOT-23,73.81875,-100.0125,-90,bottom
D36,BAV70,SOT-23,111.9,-99.5,-90,bottom
D37,BAV70,SOT-23,149.5,-99.5,-90,bottom
D38,BAV70,SOT-23,188.275,-100.15625,-90,bottom
D39,BAV70,SOT-23,226.2,-99.4,-90,bottom
D40,BAV70,SOT-23,250.35,-99.0375,-90,bottom
D41,BAV70,SOT-23,297.6,-99.8,-90,bottom
D42,BAV70,SOT-23,33.3,-118.5,-90,bottom
D43,BAV70,SOT-23,80.95,-117.8,-90,bottom
D44,BAV70,SOT-23,151.57,-119.21,-90,bottom
D45,BAV70,SOT-23,226.21875,-118.26875,-90,bottom
D46,BAV70,SOT-23,278.60625,-118.5375,-90,bottom
D47,BAV70,SOT-23,297.6,-118.4,-90,bottom
J1,Molex Pico ,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,163.97,-46.28,0,bottom
K1,ESC,SW_MX_HS_1u,22.225,-22.225,180,bottom
K2,F1,SW_MX_HS_1u,41.275,-22.225,180,bottom
K3,F2,SW_MX_HS_1u,60.325,-22.225,180,bottom
K4,F3,SW_MX_HS_1u,79.375,-22.225,180,bottom
